sku,filename,human_classification,allowed_to_change,sha256_before
CRWBP201C.BA0632,CRWBP201C.BA0632.png,approved,False,6afcf16cb540fd5a108e3897fb0f882701b5369b05c4d635eb070c468f129f15
WW714,WW714.png,true failure,True,db96b0ce8e8bfa615d557ee49ac6c66981a3a52670b74c542bc2f8ee931335b8
WWNA233803A1B1A1,WWNA233803A1B1A1.png,approved,False,4147478cc815ee4ba1ce1db6abb53a87870545f90beaf5cc638698356374b0d5
WWN10682,WWN10682.png,approved,False,a7c5335cd09961bbce7916f94c59d5be727133828f0a6548d99c1c84ec9d4d65
WWN10761,WWN10761.png,approved,False,67fa58b0cb0573ad5c05a514e7c9446d5ce6ada805185c06ae3b446cac563e59
CRWBN2113.BA0639,CRWBN2113.BA0639.png,approved,False,edef96ae6e62351f349d886674ccd06e67c4b4eb7c6e2abe4e6ff6817c841464
CRWBN2012.BA0640,CRWBN2012.BA0640.png,approved,False,45514ff0512774236007f5cc90f7a9e9c7fb1e7d6aed11eac3ae2432ca7a1ea6
WWNR10200152,WWNR10200152.png,acceptable variation,False,5a54869e513eccb82e579ca879fea965b9fb3e55d0694f6067ff366e85c58910
WW682,WW682.png,acceptable variation,False,5c89ca584921e0e460de08ce8914f02d4802dc82fe29b2b79bb1dc6557d05e43
WWNE10379351B1E1,WWNE10379351B1E1.png,acceptable variation,False,1af8ccd994d2f30ef49e7fbcb06f654c638c58af405a87380d1149c45ce3a59f
WWNR10201712,WWNR10201712.png,acceptable variation,False,112dfb9124b70e5a2febc4bac6c7d6e3b4fb43aa9b6f4741b902d49c3c237cdb
WWNWDA2111.BA0043,WWNWDA2111.BA0043.png,approved,False,42d7910ca1f8ed2cd1f3e36df87470a1f1eac4177a0b623d07bcc5d4ee52fc09
W1104,W1104.png,true failure,True,2c6aac9f60cb783f7fcb9a2807bd4efa311407f6c38f969ea7ffefa5ab2df3c3
WWNL3.821.4.93.6,WWNL3.821.4.93.6.png,approved,False,1643350597418f6a7511dbcfd28901190b598b6298920b7fac5570fbbaab7668
WWNA17376A31L1A1,WWNA17376A31L1A1.png,approved,False,dbef661d2e57ffa0c28f17582fa00803fc75927276d950e5c8901ebe47bc25de
WWNCAZ2012.BA0970,WWNCAZ2012.BA0970.png,approved,False,9357b4a9af57fc9bb5edf5968e7c11b8ae70cfca949ac9dcd6b95a8e835e7911
